date,timestamp_utc,downloads_total,daily_delta,rolling_7d_avg,latest_version,latest_status,pending_versions,active_versions
2026-05-11,2026-05-11T08:27:44Z,142,0,0.0,0.3.1,Active,,"0.3.1, 0.3.0, 0.2.1, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-12,2026-05-12T08:11:24Z,154,12,6.0,0.3.1,Active,,"0.3.1, 0.3.0, 0.2.1, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-13,2026-05-13T08:14:47Z,169,15,9.0,0.3.1,Active,,"0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-14,2026-05-14T08:11:25Z,192,23,12.5,0.3.1,Active,,"0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-15,2026-05-15T08:19:00Z,211,19,13.8,0.3.1,Active,,"0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-16,2026-05-16T07:59:01Z,229,18,14.5,0.3.2,Active,,"0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-17,2026-05-17T08:02:34Z,232,3,12.9,0.3.2,Active,,"0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-18,2026-05-18T08:36:28Z,237,5,13.6,0.3.2,Active,,"0.3.5, 0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-19,2026-05-19T08:28:55Z,247,10,13.3,0.3.6,Active,,"0.3.6, 0.3.5, 0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-20,2026-05-20T08:28:07Z,257,10,12.6,0.3.6,Active,,"0.3.6, 0.3.5, 0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-21,2026-05-21T08:29:54Z,264,7,10.3,0.3.6,Active,,"0.3.6, 0.3.5, 0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-22,2026-05-22T08:27:25Z,273,9,8.9,0.3.6,Active,,"0.3.6, 0.3.5, 0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-23,2026-05-23T08:01:12Z,279,6,7.1,0.3.6,Active,,"0.3.6, 0.3.5, 0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
2026-05-24,2026-05-24T08:06:10Z,285,6,7.6,0.3.7,Active,,"0.3.7, 0.3.6, 0.3.5, 0.3.2, 0.3.1, 0.3.0, 0.2.1, 0.2.0, 0.1.10, 0.1.9, 0.1.8, 0.1.7, 0.1.6"
